"","1%","5%","10%","25%","50%","75%","90%","95%","99%","mean","std_dev"
"closure",0,0,0,0,1,2,5,7,13.5899999999999,1.82030401737242,3.8058190836143
"cppcheck",0,0,0,0,1,5,8,11,14.63,2.86390532544379,3.61735826890419
"cqual",0,0,0,0,1,6.25,15.6,18,22.69,4.12820512820513,6.44327692372581
"findbugs",0,0,0,0,1,3,9,13,22,2.79946164199192,4.95190604185391
"findsecuritybugs",0,0,0,0,0,1,2,3,4,0.725274725274725,1.08592954616908
"jlint",0,0,0,0,1,2.75,6.7,7.85,19.7,2.52272727272727,4.48505858696865
"pixy",0,0,0,0,1,3,8,12,24.44,2.8471615720524,5.10832252439621
"pmd",0,0,0,0,1,3,6,7,11,1.87910447761194,2.58975042487909
"rats",0,0,0,0,1,2,2.4,4.1,4.82,1.21052631578947,1.39757517660733
"smatch",0,0,0,0,2,6,11,16.9,24.18,4.13664596273292,6.2221964752053
"splint",0,0,0,0,2,7,14,24,59.4000000000001,5.75330396475771,11.1709020033193
"uno",0,0,0,0,2,4,8,8.1,8.82,2.89473684210526,3.19539141824432
"wap",0,0,0,0,0,0,1,8.14999999999998,20.63,1.00591715976331,3.62892606003487
