"","1%","5%","10%","25%","50%","75%","90%","95%","99%","mean","stddev"
"closure",0,0,0,1,2,5,18,37,131.129999999999,9.42671009771987,45.055464677041
"cppcheck",0,0,0,1,2,8,15,22.15,50.63,7.21597633136095,22.0270425734723
"cqual",0,0,1,1,4.5,20.75,77.3,105.8,256,24.8461538461538,49.5423410472654
"findbugs",0,0,1,2,3,6,13,18,54,5.93472409152086,11.1971818314965
"findsecuritybugs",1,1,1,2,2,3,5,6,21.2,2.98901098901099,3.42699902893513
"jlint",0,0,0,1,2,3,13.1,17.55,20.57,4.04545454545455,5.38280874833406
"pixy",0,0,1,2,3,6,13.2,28.6,46.44,6.73799126637555,12.223840575017
"pmd",0,1,1,1,3,5,10,16,45.6099999999999,5.12761194029851,9.70610620453067
"rats",0,0,0,0,11,40.5,49.4,51.1,51.82,20.3157894736842,20.4967548422751
"smatch",0,0,0.200000000000003,1,2,7,21.8,43,99.5200000000001,9.65631469979296,25.8830335912188
"splint",0,0,1,1,3,8,20,43,178.400000000001,11.3039647577093,34.5894424409418
"uno",0,0,0.8,6.5,17,40.5,53.8,70.4999999999998,138.9,28.3684210526316,36.4740555072534
"wap",1,1,1,1,1,3,5,17,84,4.46449704142012,14.7292149952182
